funcao,tamanho_entrada,threads,menor_tempo,aceleracao
euclidean_norm,100,1,0.00067,1.0
euclidean_norm,100,2,0.000688,0.9738372093
euclidean_norm,100,3,0.000793,0.8448928121
euclidean_norm,100,4,0.000894,0.7494407159
euclidean_norm,100,5,0.00091,0.7362637363
euclidean_norm,100,6,0.001007,0.6653426018
euclidean_norm,100,7,0.00094,0.7127659574
euclidean_norm,100,8,0.001114,0.6014362657
euclidean_norm,1000,1,0.004858,1.0
euclidean_norm,1000,2,0.002809,1.729441082
euclidean_norm,1000,3,0.002281,2.129767646
euclidean_norm,1000,4,0.001913,2.539466806
euclidean_norm,1000,5,0.001889,2.571731075
euclidean_norm,1000,6,0.001677,2.896839595
euclidean_norm,1000,7,0.00196,2.478571429
euclidean_norm,1000,8,0.001959,2.479836651
euclidean_norm,10000,1,0.435493,1.0
euclidean_norm,10000,2,0.23451,1.857033815
euclidean_norm,10000,3,0.167282,2.603346445
euclidean_norm,10000,4,0.150358,2.896373987
euclidean_norm,10000,5,0.148794,2.926818286
euclidean_norm,10000,6,0.140585,3.09772024
euclidean_norm,10000,7,0.128521,3.388496822
euclidean_norm,10000,8,0.126265,3.449039718
euclidean_norm,100000,1,44.515062,1.0
euclidean_norm,100000,2,25.368783,1.754718072
euclidean_norm,100000,3,18.725378,2.377258392
euclidean_norm,100000,4,16.019552,2.778795687
euclidean_norm,100000,5,15.914744,2.797095699
euclidean_norm,100000,6,14.71846,3.024437475
euclidean_norm,100000,7,14.313761,3.109948671
euclidean_norm,100000,8,14.360774,3.099767603
trigonometric_id,100,1,0.001223,1.0
trigonometric_id,100,2,0.001036,1.180501931
trigonometric_id,100,3,0.001001,1.221778222
trigonometric_id,100,4,0.000925,1.322162162
trigonometric_id,100,5,0.000938,1.303837953
trigonometric_id,100,6,0.000942,1.298301486
trigonometric_id,100,7,0.001068,1.145131086
trigonometric_id,100,8,0.001212,1.009075908
trigonometric_id,1000,1,0.058717,1.0
trigonometric_id,1000,2,0.030969,1.895992767
trigonometric_id,1000,3,0.023321,2.51777368
trigonometric_id,1000,4,0.021651,2.711976352
trigonometric_id,1000,5,0.022921,2.561711967
trigonometric_id,1000,6,0.022628,2.594882447
trigonometric_id,1000,7,0.021144,2.777005297
trigonometric_id,1000,8,0.019838,2.959824579
trigonometric_id,10000,1,6.26656,1.0
trigonometric_id,10000,2,3.563268,1.758655257
trigonometric_id,10000,3,2.714691,2.308387953
trigonometric_id,10000,4,2.332034,2.687164938
trigonometric_id,10000,5,2.314725,2.707258962
trigonometric_id,10000,6,2.235897,2.802705134
trigonometric_id,10000,7,2.10303,2.979776798
trigonometric_id,10000,8,2.07973,3.013160362
trigonometric_id,100000,1,647.659689,1.0
trigonometric_id,100000,2,373.357821,1.734688957
trigonometric_id,100000,3,283.910565,2.281210243
trigonometric_id,100000,4,244.180415,2.652381801
trigonometric_id,100000,5,234.371947,2.763384003
trigonometric_id,100000,6,221.616145,2.922439107
trigonometric_id,100000,7,214.008182,3.026331437
trigonometric_id,100000,8,222.518955,2.910582107
