funcao,tamanho_entrada,threads,tempo
euclidean_norm,100,1,0.000719
euclidean_norm,100,1,0.000762
euclidean_norm,100,1,0.00067
euclidean_norm,100,1,0.000727
euclidean_norm,100,1,0.000701
euclidean_norm,100,2,0.000812
euclidean_norm,100,2,0.000688
euclidean_norm,100,2,0.00077
euclidean_norm,100,2,0.000812
euclidean_norm,100,2,0.000741
euclidean_norm,100,3,0.000828
euclidean_norm,100,3,0.000894
euclidean_norm,100,3,0.000793
euclidean_norm,100,3,0.00083
euclidean_norm,100,3,0.00085
euclidean_norm,100,4,0.000894
euclidean_norm,100,4,0.000918
euclidean_norm,100,4,0.000926
euclidean_norm,100,4,0.001046
euclidean_norm,100,4,0.000929
euclidean_norm,100,5,0.000926
euclidean_norm,100,5,0.00091
euclidean_norm,100,5,0.000959
euclidean_norm,100,5,0.000966
euclidean_norm,100,5,0.001133
euclidean_norm,100,6,0.001023
euclidean_norm,100,6,0.001048
euclidean_norm,100,6,0.001142
euclidean_norm,100,6,0.001195
euclidean_norm,100,6,0.001007
euclidean_norm,100,7,0.001122
euclidean_norm,100,7,0.001014
euclidean_norm,100,7,0.001109
euclidean_norm,100,7,0.00094
euclidean_norm,100,7,0.001032
euclidean_norm,100,8,0.001252
euclidean_norm,100,8,0.001143
euclidean_norm,100,8,0.001123
euclidean_norm,100,8,0.001114
euclidean_norm,100,8,0.001211
euclidean_norm,1000,1,0.004997
euclidean_norm,1000,1,0.005028
euclidean_norm,1000,1,0.005181
euclidean_norm,1000,1,0.004934
euclidean_norm,1000,1,0.004858
euclidean_norm,1000,2,0.003124
euclidean_norm,1000,2,0.003028
euclidean_norm,1000,2,0.002809
euclidean_norm,1000,2,0.002961
euclidean_norm,1000,2,0.002968
euclidean_norm,1000,3,0.002336
euclidean_norm,1000,3,0.00234
euclidean_norm,1000,3,0.002403
euclidean_norm,1000,3,0.002281
euclidean_norm,1000,3,0.002392
euclidean_norm,1000,4,0.001913
euclidean_norm,1000,4,0.002002
euclidean_norm,1000,4,0.00228
euclidean_norm,1000,4,0.002318
euclidean_norm,1000,4,0.002308
euclidean_norm,1000,5,0.001916
euclidean_norm,1000,5,0.00193
euclidean_norm,1000,5,0.00192
euclidean_norm,1000,5,0.001973
euclidean_norm,1000,5,0.001889
euclidean_norm,1000,6,0.00171
euclidean_norm,1000,6,0.001766
euclidean_norm,1000,6,0.001798
euclidean_norm,1000,6,0.002043
euclidean_norm,1000,6,0.001677
euclidean_norm,1000,7,0.001977
euclidean_norm,1000,7,0.002223
euclidean_norm,1000,7,0.001999
euclidean_norm,1000,7,0.002096
euclidean_norm,1000,7,0.00196
euclidean_norm,1000,8,0.002201
euclidean_norm,1000,8,0.002166
euclidean_norm,1000,8,0.001959
euclidean_norm,1000,8,0.001974
euclidean_norm,1000,8,0.002081
euclidean_norm,10000,1,0.441762
euclidean_norm,10000,1,0.435493
euclidean_norm,10000,1,0.463072
euclidean_norm,10000,1,0.482464
euclidean_norm,10000,1,0.444904
euclidean_norm,10000,2,0.237966
euclidean_norm,10000,2,0.23451
euclidean_norm,10000,2,0.238617
euclidean_norm,10000,2,0.250601
euclidean_norm,10000,2,0.237549
euclidean_norm,10000,3,0.209356
euclidean_norm,10000,3,0.172313
euclidean_norm,10000,3,0.167282
euclidean_norm,10000,3,0.181496
euclidean_norm,10000,3,0.181882
euclidean_norm,10000,4,0.159391
euclidean_norm,10000,4,0.160877
euclidean_norm,10000,4,0.159135
euclidean_norm,10000,4,0.150358
euclidean_norm,10000,4,0.162151
euclidean_norm,10000,5,0.150354
euclidean_norm,10000,5,0.148794
euclidean_norm,10000,5,0.159001
euclidean_norm,10000,5,0.150805
euclidean_norm,10000,5,0.149277
euclidean_norm,10000,6,0.149315
euclidean_norm,10000,6,0.140585
euclidean_norm,10000,6,0.161456
euclidean_norm,10000,6,0.168642
euclidean_norm,10000,6,0.173825
euclidean_norm,10000,7,0.131166
euclidean_norm,10000,7,0.128521
euclidean_norm,10000,7,0.131334
euclidean_norm,10000,7,0.186243
euclidean_norm,10000,7,0.128942
euclidean_norm,10000,8,0.135186
euclidean_norm,10000,8,0.141977
euclidean_norm,10000,8,0.126265
euclidean_norm,10000,8,0.130991
euclidean_norm,10000,8,0.129022
euclidean_norm,100000,1,45.110726
euclidean_norm,100000,1,44.692541
euclidean_norm,100000,1,44.515062
euclidean_norm,100000,1,45.087009
euclidean_norm,100000,1,45.153548
euclidean_norm,100000,2,25.439258
euclidean_norm,100000,2,25.368783
euclidean_norm,100000,2,25.612113
euclidean_norm,100000,2,25.61393
euclidean_norm,100000,2,25.654555
euclidean_norm,100000,3,18.725378
euclidean_norm,100000,3,18.845229
euclidean_norm,100000,3,19.049895
euclidean_norm,100000,3,19.179647
euclidean_norm,100000,3,18.853999
euclidean_norm,100000,4,16.039396
euclidean_norm,100000,4,16.019552
euclidean_norm,100000,4,16.479995
euclidean_norm,100000,4,17.214267
euclidean_norm,100000,4,17.195115
euclidean_norm,100000,5,16.429763
euclidean_norm,100000,5,16.065923
euclidean_norm,100000,5,16.402947
euclidean_norm,100000,5,16.137761
euclidean_norm,100000,5,15.914744
euclidean_norm,100000,6,15.072906
euclidean_norm,100000,6,15.109255
